case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s_n,mu_q_s_n,hit90_q_s_n,gt_q_s,mu_q_s,hit90_q_s,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error
172,0.15514657284148958,0.15853265,1.0,0.6287009209082717,0.6097423,1.0,0.21003598350868125,0.5253856,1.0,0.5603669049098736,0.6409375,1.0,18.40850351481701,18.758211,1.0,0.06417771383413177,0.13104028,1.0
57,0.10234025731604124,0.12465693,1.0,0.6458225919172482,0.65916747,1.0,0.7686544097779466,0.53659886,1.0,0.6926370629818903,0.6773232,1.0,58.89278581725426,68.06329,1.0,0.20694320682485745,0.13062418,1.0
144,0.7464240316135501,0.6237611,1.0,0.5166891926646728,0.5821034,1.0,0.29861340100478007,0.52704865,1.0,0.5890311937273789,0.7309147,1.0,25.4407665135964,7.382191,1.0,0.021740288934271924,0.12541579,1.0
89,0.924918994179241,0.892803,1.0,0.9191476771269402,0.8502831,1.0,0.6981619567377682,0.45818207,1.0,0.6769395444533259,0.7900303,1.0,7.182226878447015,7.7615166,1.0,0.038374322465898045,0.12446416,1.0
165,0.09601237271490959,0.19457877,0.0,0.7466772891414053,0.76055664,1.0,0.5302082067532663,0.5451764,1.0,0.6671500447901879,0.67336214,1.0,27.033856237268218,27.549578,1.0,0.011904198079709284,0.116506755,0.0
179,0.9792427747784154,0.96897143,0.0,0.9120165671784654,0.8377626,0.0,0.9556232070390094,0.5709444,1.0,0.7245074385614023,0.6207604,1.0,45.737592589083,72.153534,1.0,0.3599087455617617,0.11091803,0.0
195,0.6393403455239793,0.60933644,1.0,0.5032672119299882,0.5312023,1.0,0.3106663025579185,0.4842357,1.0,0.8503181185077293,0.7166102,1.0,33.49198769628096,16.583448,1.0,0.015667980980944792,0.1091711,1.0
34,0.4827888862456151,0.6382062,1.0,0.5003416998109359,0.53616005,0.0,0.756419928253255,0.54478234,1.0,0.7399835617797372,0.71719325,1.0,12.367593729666554,5.4513006,1.0,0.021640337018175446,0.1075544,1.0
70,0.9251678003115494,0.9275293,1.0,0.861797988796303,0.8682202,1.0,0.39002715574023816,0.23307054,0.0,0.779776338396099,0.7852855,1.0,90.39484286378267,81.22322,1.0,0.08137414936446498,0.10498468,1.0
43,0.557782075180091,0.46912873,1.0,0.9655970418000144,0.959198,1.0,0.4672282735153671,0.5560339,1.0,0.827419928359834,0.6902667,1.0,37.33219190680777,39.993126,1.0,0.05947498695857426,0.10285544,1.0
83,0.10985867074688416,0.651428,1.0,0.5029970186570241,0.535023,1.0,0.4896654191114229,0.52798057,1.0,0.6594977415304252,0.7275474,1.0,17.83493472396885,9.841701,1.0,0.017099424262865877,0.10249435,1.0
101,0.35885080514173817,0.5257323,1.0,0.8070055224146269,0.8927148,1.0,0.21498727586732325,0.44799757,1.0,0.9470566385000568,0.78207153,1.0,4.87974016321544,4.2193327,1.0,0.03933538027142861,0.10132183,1.0
169,0.030574297431521846,0.048536528,1.0,0.9334893543329394,0.89999676,0.0,0.43920461639584407,0.52926004,1.0,0.9712863218046787,0.8448791,0.0,80.1253335363483,73.49055,1.0,0.11652187979958305,0.101256564,1.0
155,0.3401285942204877,0.33890668,1.0,0.8062179070279736,0.81663865,1.0,0.5098895737324991,0.5068181,1.0,0.6300070138050528,0.7231399,1.0,10.415964374099708,9.612094,1.0,0.062370011027593264,0.097706206,1.0
58,0.5943108474084461,0.5815877,1.0,0.9380020480889304,0.94118744,1.0,0.7245559823807051,0.51440674,1.0,0.9781485000734634,0.7499033,0.0,8.915297245252244,8.801605,1.0,0.024420199555924702,0.09720175,1.0
77,0.597982360159471,0.5438817,1.0,0.7104345910881473,0.70455027,1.0,0.5874208088218336,0.6056274,1.0,0.6159715500554053,0.6631051,1.0,80.59368588934659,92.053246,1.0,0.21327278292467394,0.096757114,1.0
81,0.04143274302347377,0.030337526,1.0,0.7059144130152446,0.7090404,1.0,0.5683783458331915,0.5336354,1.0,0.5437583404840256,0.6564414,1.0,99.38438321574979,81.16064,0.0,0.010414700526392118,0.09517712,0.0
126,0.4530902693502121,0.42261708,1.0,0.6177815663679864,0.6019896,1.0,0.33459180521069387,0.6179849,1.0,0.5289068092985265,0.6158086,1.0,45.11573432932468,46.317547,1.0,0.07092717306002737,0.091248095,1.0
119,0.29689529596480946,0.65332776,1.0,0.5073863441860487,0.5251799,1.0,0.8024366832266558,0.5602755,1.0,0.7300074354455945,0.72149915,1.0,8.644093673225388,5.3555903,1.0,0.09649654448892385,0.091162845,1.0
10,0.6589416860453098,0.5684259,1.0,0.5840764516084036,0.56990576,1.0,0.0508437553706359,0.60362476,0.0,0.6256157201835024,0.67190343,1.0,55.44999475236001,53.254913,1.0,0.012452604057078494,0.08402377,0.0
49,0.4007922838041521,0.34734333,1.0,0.8802876752908945,0.8512421,1.0,0.44051655203473206,0.4562988,1.0,0.5673447010965029,0.75932103,1.0,13.3369900756699,11.821427,1.0,0.06636783219419348,0.08340166,1.0
90,0.41388025259810046,0.35454196,1.0,0.6719595137219626,0.68402183,1.0,0.03927937710721119,0.39149767,1.0,0.6824119389616505,0.74706936,1.0,12.946116416401082,12.937517,1.0,0.060439057158569176,0.08000984,1.0
