subject_id,eta,rho,q_d_n,q_d,q_s_n,q_s,cost_stop_error,inv_temp
NDAR_INVX9XKM89P,-0.15276355,0.29441229,0.8652795,0.87986755,0.029150968,0.7688489,1.6732386,26.411655
NDAR_INV65CU9XVH,-0.100678414,0.8653693,0.7656086,0.86326814,0.029636241,0.803156,1.799383,27.526596
NDAR_INV6AC2J61C,1.0633276,0.7700408,0.96154445,1.0036023,0.0102189435,0.63951284,1.802594,61.354744
NDAR_INVLWH9WH49,0.39267406,0.4310218,0.87026685,0.8414819,0.036758255,0.6637692,1.6089637,18.93078
NDAR_INVG3C96BLD,0.15193644,0.81358534,0.87084544,0.9205947,0.028522888,0.7195585,1.813425,67.64193
NDAR_INV36E4JVZ2,0.71443963,0.7675136,0.9421045,0.9269444,0.014782824,0.67310464,1.8354095,75.66494
NDAR_INVN5HX249Z,0.6296464,0.40563044,0.93631107,0.99546385,0.066973604,0.9413655,1.6406821,72.094925
NDAR_INVT5G6HNMZ,0.22070976,0.67557245,0.8299352,0.856189,0.0581922,0.7099317,1.716946,18.497627
NDAR_INVWPZDHV93,0.24151376,0.8995216,0.9578044,1.0076191,0.022179425,0.7416899,1.8140105,52.23881
NDAR_INVTNGA8MPC,0.02067197,0.9061882,0.8543893,0.9169651,0.022596689,0.704235,1.7891731,52.91385
NDAR_INVM6PPNLBL,0.4308263,0.41180474,0.8120612,0.8808187,0.033583235,0.7716352,1.5914117,41.273464
NDAR_INV1KBEC5AT,0.28171504,0.102804124,0.9623868,0.99674356,0.043343678,0.8545172,1.6429219,64.525215
NDAR_INVR121BX0F,7.4226437,0.22705762,0.5185751,0.7641833,0.123102605,0.9321764,1.9687284,109.072815
NDAR_INVYXATK265,1.6677909,0.5072106,0.94391644,0.9271891,0.032664716,0.6160735,1.4732995,48.563263
NDAR_INV8ZT3LDTV,-0.05176451,0.4121564,0.93506134,0.9899209,0.028827086,0.8176905,1.6055545,37.562397
NDAR_INVNHL7P38J,4.74613,0.8233322,0.78442675,0.8392825,0.02120013,0.6538057,1.781679,69.10132
NDAR_INVF7E957WL,-0.031701706,0.69005704,0.8548231,0.8324768,0.037671916,0.72504187,1.6833004,26.353088
NDAR_INVP6AED57Y,-0.1932584,0.28836417,0.7347162,0.8441384,0.11125446,0.6594621,1.7670496,24.468508
NDAR_INVABMM7ZRX,-0.12933165,0.49199542,0.8332394,0.8473718,0.031303007,0.71437883,1.7089581,13.932034
NDAR_INVWCG2L6JG,2.4992485,0.7322508,0.9101966,0.90733474,0.031723585,0.7451556,1.8709722,85.88512
NDAR_INVD4J6E7PK,1.2011061,0.36686075,0.90562797,0.9058561,0.020423606,0.69815916,1.6532043,54.665936
NDAR_INVN2CM6UDZ,1.1628963,0.81531227,0.8152608,0.84105384,0.03096997,0.7242293,1.8420808,74.000046
NDAR_INV46B8VBDT,2.3622158,0.5992138,0.94513273,0.9281919,0.021611352,0.62827826,1.7602925,77.32806
NDAR_INV7G7KU2PH,0.4118374,0.5476344,0.9228988,0.8502822,0.026619665,0.63958216,1.4077148,23.921782
NDAR_INVTTFEB4VE,0.0581862,0.5170785,0.7637111,0.78934944,0.029381886,0.6679191,1.8697954,21.953552
NDAR_INVWBLWK0A5,1.6113126,0.74541646,0.9403822,0.9670459,0.024579395,0.76486206,1.6443644,54.59708
NDAR_INVP4RP5HAP,2.8246803,0.63890666,0.9465203,0.9710945,0.02410084,0.7409158,1.754893,69.029976
NDAR_INV4H7G4RXD,5.4060736,0.83310866,0.7302091,0.8531903,0.027134493,0.8050487,1.8460296,79.3564
NDAR_INVMYUC7TV1,0.20596325,0.57260317,0.81302905,0.88150704,0.028456846,0.7166129,1.6438475,38.469627
NDAR_INVDGVADKJA,3.6805172,0.74652,0.757678,0.821906,0.01899089,0.6603927,1.6270329,53.44753
NDAR_INVX51FDNHV,1.6056687,0.83882064,0.93095076,0.9225315,0.016694257,0.6457176,1.7592696,53.6333
NDAR_INVKYF90PFL,0.2101256,0.8086696,0.81474024,0.75664675,0.039475363,0.6925959,1.8214374,17.179789
NDAR_INVUWP79YF4,1.6445673,0.8745659,0.86569774,0.7950946,0.02172949,0.6035184,1.7390375,37.03546
NDAR_INV1D6G642B,0.75030833,0.6040315,0.8443391,0.85471886,0.013521548,0.6883379,1.714818,43.71834
NDAR_INV137Y0WR8,3.0442383,0.8241463,0.29147378,0.70608187,0.044060823,0.98454475,1.8185349,91.88548
NDAR_INV93AY6461,-0.14382686,0.6737433,0.7434021,0.84714144,0.112926185,0.7028619,1.7434149,17.828644
NDAR_INVXJEFUNEP,0.6657291,0.53539306,0.846139,0.8763825,0.026980236,0.75801337,1.6966699,49.79866
NDAR_INVTUE4K1JE,0.6555877,0.5622062,0.7982059,0.7829566,0.031436913,0.617503,1.781582,48.391567
NDAR_INV6UUPURN1,0.10898129,0.5071881,0.775819,0.88443434,0.044229817,0.6969121,1.6772646,18.710855
