subject_id,cost_go_error,cost_go_missing,cost_stop_error,cost_time,inv_temp,q_d,q_d_n,q_s,q_s_n,rate_stop_trial
INV0DKWEM1A,1.0,1.0,1.6542443125559456,0.001,57.858835117340085,0.8441814559102059,0.8745065827071666,0.7540564881563186,0.0500158269885605,0.1666666666666666
INV0DVK13LU,1.0,1.0,1.475257339294164,0.001,83.00281972312928,0.6892406020760536,0.6222251684162766,0.9606595319211484,0.1073658846688631,0.1666666666666666
INV0E1RBR9J,1.0,1.0,1.6997990075089116,0.001,71.70018485832215,0.8056904167234897,0.6003227323736064,0.8966132682561875,0.020874069178018,0.1666666666666666
INV0E9UFT0K,1.0,1.0,1.8103406389869432,0.001,84.94736014938354,0.804639368057251,0.7959409018345177,0.6824567267298698,0.0454472576106145,0.1666666666666666
INV0EWGP0U5,1.0,1.0,1.424039747756357,0.001,77.34607872772217,0.705866153627634,0.5310652892284561,0.7632934340238571,0.0271710333321657,0.1666666666666666
INV0EXY6KFW,1.0,1.0,1.4353837622306649,0.001,42.76752996635437,0.7861963548958302,0.7374054649649188,0.7451048436462879,0.034012558799297,0.1666666666666666
INV0F3UJ9CT,1.0,1.0,1.6082944989963648,0.001,46.06807664775848,0.8482961030900479,0.8223250251114368,0.7875516308546067,0.0379879254522384,0.1666666666666666
INV0F82C6R8,1.0,1.0,1.523362000303627,0.001,68.71997837066651,0.901400670528412,0.873746182359755,0.726926733225584,0.0263784172698551,0.1666666666666666
INV0F959U85,1.0,1.0,1.6428127151024872,0.001,32.81638837051391,0.7505830736756325,0.7379459022651427,0.6679407747983932,0.066916257698831,0.1666666666666666
INV0FCEX8C6,1.0,1.0,1.279967302484825,0.001,75.4520226688385,0.703936400026083,0.2494190902654554,0.7072737486064434,0.0306294735930978,0.1666666666666666
INV0FM9MUTU,1.0,1.0,1.0162096896973265,0.001,51.64273543834686,0.7220542950928212,0.682615258615464,0.6715518600940704,0.0794378363006981,0.1666666666666666
INV0FV544H9,1.0,1.0,1.7406255783291729,0.001,73.42756612586975,0.7923213984668255,0.8192033863961696,0.7307152734398842,0.0375835778293794,0.1666666666666666
INV0FZ26GB1,1.0,1.0,1.444487446577521,0.001,69.39182571601867,0.6920752485394478,0.5351030036769807,0.6738672210872173,0.0480469887769218,0.1666666666666666
INV0GWJ7GFF,1.0,1.0,1.6688620269762795,0.001,32.067684723854065,0.8674363713562488,0.8499434727057814,0.7303450724482536,0.0443946586871534,0.1666666666666666
INV0GZ334XA,1.0,1.0,1.7131290619478483,0.001,66.49036711502075,0.8867010406553745,0.8087787621617317,0.6876636071205139,0.0398264119723817,0.1666666666666666
INV0H2AWWPU,1.0,1.0,1.4498388212235869,0.001,93.1403863067627,0.7171610318124294,0.3652637517319526,0.7257654519975185,0.0646501490522005,0.1666666666666666
INV0HALXUFY,1.0,1.0,1.3583588426291744,0.001,46.90934548568725,0.7655566820204258,0.7605062916874885,0.6956342828571797,0.0825247117652324,0.1666666666666666
INV0HVEVD01,1.0,1.0,1.3214296396648373,0.001,58.144330563545225,0.7563632386028767,0.7801370304131414,0.6314288153648376,0.0592092881332719,0.1666666666666666
INV0J1M2ETU,1.0,1.0,1.6264071577448644,0.001,44.2931598072052,0.7147706185281276,0.5593404985847883,0.8602940067648888,0.0293204769571416,0.1666666666666666
INV0J9U5XRJ,1.0,1.0,1.5561772734397408,0.001,43.1078432674408,0.8509139828979969,0.843120302543044,0.638696351647377,0.0360214222600552,0.1666666666666666
INV0JAG7BGC,1.0,1.0,1.6058243991590002,0.001,52.81748385429383,0.8520841953456402,0.8188774175234139,0.6823550614714623,0.048777515746282,0.1666666666666666
INV0JCWR24P,1.0,1.0,0.6611616654703973,0.001,82.07692745018005,0.7895567025542259,0.8422899349005892,0.688020530372858,0.0609539618752096,0.1666666666666666
INV0JRU5DWA,1.0,1.0,1.6495642973410574,0.001,85.60194595146179,0.8278849329650402,0.7650289690662175,0.8906077620983124,0.04463416077695,0.1666666666666666
INV0KHYZ082,1.0,1.0,1.301991525881869,0.001,45.48737975978851,0.6996540794074535,0.6351323678862536,0.6923877882063388,0.1051170782253757,0.1666666666666666
INV0KPZW3NB,1.0,1.0,1.7601233529224096,0.001,43.9610782737732,0.8607026830911636,0.7424709547874517,0.825921328574419,0.0303263862390158,0.1666666666666666
INV0L1GB53L,1.0,1.0,1.102056490508484,0.001,84.01768266010285,0.6472342411875724,0.3856669953636883,0.7387155452668667,0.1408078469325619,0.1666666666666666
INV0L7XB3AW,1.0,1.0,1.6439027715129924,0.001,33.60176069164276,0.8456030579507351,0.769208821836859,0.7053198710381985,0.0348789843989206,0.1666666666666666
INV0LKZCJ15,1.0,1.0,1.599936012039986,0.001,21.282333625793456,0.928709154188633,0.8895356072485447,0.787052580088377,0.0202765070085465,0.1666666666666666
INV0LN1KD13,1.0,1.0,1.4339175151222574,0.001,64.97782747650146,0.8830854313373566,0.8860922850631178,0.7243850310742855,0.03632643127564,0.1666666666666666
INV0M0EWKRV,1.0,1.0,1.5244483740829475,0.001,50.07434697151184,0.7717388680577278,0.7847916500419378,0.694776591181755,0.0731320706532642,0.1666666666666666
INV0MF9V4P1,1.0,1.0,1.77146164194486,0.001,64.25004087257385,0.8515604603588581,0.8260102496445179,0.6968283273875714,0.0410446505259278,0.1666666666666666
INV0ML93ZXT,1.0,1.0,1.6910927991865647,0.001,80.47840062522889,0.7068093072772026,0.6408941951689776,0.7139307546317577,0.0502313372355711,0.1666666666666666
INV0MXJ7AZN,1.0,1.0,1.3482551955868791,0.001,90.24046070480348,0.6477331083416938,0.5403467963479343,0.9454648045301436,0.0889874840943375,0.1666666666666666
INV0N0JE94U,1.0,1.0,1.7806283442030255,0.001,56.86718466567993,0.8155630648732185,0.7692583422946045,0.6808930953741074,0.0413037043330759,0.1666666666666666
INV0N10CEEL,1.0,1.0,1.3341978577139837,0.001,88.83962763404847,0.6425648139417172,0.1470331072341796,0.8677992236614227,0.05999317548882,0.1666666666666666
INV0N289PCW,1.0,1.0,1.6732852718115805,0.001,30.146341650962828,0.855504643112421,0.8664647732810117,0.6930584344863892,0.0242662667478782,0.1666666666666666
INV0NJE7J4R,1.0,1.0,0.992598393433444,0.001,63.53713243579865,0.6723396921753884,0.700788891389966,0.8083765057623387,0.0347148237135925,0.1666666666666666
INV0NK7MVCJ,1.0,1.0,1.5744398599011524,0.001,63.91382891082764,0.6613180925548077,0.5439124991165009,0.8857043658196926,0.0324568631319271,0.1666666666666666
INV0NLL2KYE,1.0,1.0,1.791317573031291,0.001,39.38235928344727,0.7838044297993183,0.6367061406483409,0.6766370570063591,0.0405283728182635,0.1666666666666666
