case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error
57,0.5201230989081692,0.67312354,1.0,0.694568712543082,0.7282174,1.0,0.8680672853498477,0.7145045,1.0,12.438274905229067,33.03922,1.0,0.1752337884535597,0.18070538,1.0,0.0002236905214372662,0.0010508256,1.0,0.8712569313879226,0.5565744,1.0
58,0.9167359676350912,0.54912883,1.0,0.8588105307803302,0.67312557,1.0,0.7626930189953163,0.73450303,1.0,40.969569806448234,24.042053,1.0,0.013231769427339553,0.079585604,1.0,0.0010350979255794334,0.0017983343,1.0,0.05646155895882181,0.16901459,1.0
59,0.262405156041173,0.6551395,1.0,0.5272602906905284,0.63957006,1.0,0.6103048163794291,0.7378526,1.0,61.79373609839304,44.709602,1.0,0.1162139559778455,0.17244272,1.0,0.01797838436153699,0.030231906,1.0,0.09139315289469543,0.17427485,1.0
60,0.8463998185338036,0.58137345,1.0,0.5922714352667844,0.6840118,1.0,0.7395474105048785,0.7320784,1.0,75.93538365983348,27.259977,0.0,0.05120351782570998,0.18222772,1.0,0.0019343264454603254,0.01131003,1.0,0.032200048107087965,0.09594344,1.0
61,0.06384954712761326,0.20318076,1.0,0.7210817878046742,0.76291084,1.0,0.7233482650181295,0.64929384,1.0,14.213413823258538,35.468227,1.0,0.054563310117842816,0.20459154,1.0,0.011402037991676656,0.00852225,1.0,0.6689905077609173,0.39920178,1.0
62,0.8188437383255202,0.56332487,1.0,0.6516910102907424,0.67327553,1.0,0.7171415950624024,0.7226064,1.0,13.509954939116295,25.32928,1.0,0.5603089555171704,2615.6667,0.0,0.011749865990913036,0.8783553,1.0,0.360342386071247,0.10438976,1.0
63,0.2837057055728065,0.55577964,1.0,0.6097331407946162,0.69142115,1.0,0.6336152492023637,0.69011223,1.0,17.51576910964013,30.368801,1.0,0.016054181791660613,0.16754116,1.0,0.0017380454377386408,0.0014728153,1.0,0.48305309921011086,0.30810818,1.0
64,0.33528604903050807,0.5172229,1.0,0.7600142840363941,0.8253829,1.0,0.8053564517180545,0.7115368,1.0,53.68307264079869,30.382368,1.0,0.014401700631302534,0.08605838,1.0,0.0001008832420822886,0.0018039164,0.0,0.08723466024083505,0.27663708,1.0
65,0.554116118001183,0.5331762,1.0,0.8296814268241531,0.7454553,1.0,0.9559975831649551,0.7310736,1.0,38.365903820508905,34.088123,1.0,0.02108437834190609,0.22780038,1.0,0.02211286839187744,0.025428034,1.0,0.03447250968265806,0.09745231,1.0
66,0.9125144770759718,0.46204108,0.0,0.8446980674055233,0.74491477,1.0,0.9615800878395242,0.67434466,0.0,97.2972014030157,28.197046,0.0,0.012678276446247002,0.21043417,0.0,0.0002110835798923808,0.0011313936,1.0,0.036850462202244534,0.12699324,1.0
67,0.32574359731439095,0.5837129,1.0,0.6846933008044294,0.6713789,1.0,0.9244365949725859,0.7270552,1.0,31.304157857304762,29.349998,1.0,0.10184848486116103,0.40767077,1.0,0.01718425625741791,0.019370139,1.0,0.015234857404425014,0.0838484,1.0
68,0.11965622217649508,0.50973696,1.0,0.8056287421762606,0.72060245,1.0,0.6589777651397875,0.72838515,1.0,19.639495634139898,25.359764,1.0,0.03335542471823455,0.113815874,1.0,0.000273858700718632,0.0019969495,1.0,0.023867102279192667,0.12697235,1.0
