case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
87,0.4300724182624489,0.51406354,1.0,0.6282092614131177,0.6547181,1.0,0.8784787952718349,0.8375023,1.0,10,9.655465,1.0,4.485133456290717,20792.217,1.0,0.06262723587701993,0.03429869,1.0,0.00184590747539526,0.0016810583,1.0
88,0.3464057790079229,0.37777394,1.0,0.9497150880831271,0.8642572,0.0,0.5384765814202002,0.6302715,1.0,16,15.391543,0.0,1.9837368511416054,1.8748589,1.0,1.2694315222555799,0.8387031,1.0,0.006490734100144557,0.0073516695,1.0
89,0.34332568603837343,0.5973209,1.0,0.5405323132041704,0.5524635,1.0,0.9617454726868085,0.74509364,1.0,8,7.7005396,1.0,0.8508010594394596,1.2631077,1.0,0.05735243948999217,0.047294132,1.0,0.0002348628239661902,0.00019203835,1.0
90,0.5199090298870054,0.40398747,1.0,0.9404956205285282,0.91143405,1.0,0.6105260094712184,0.7207618,1.0,12,11.961547,1.0,0.4294403005057348,1.2475398,1.0,0.48241710304389884,0.2788445,1.0,0.005842025898218943,0.0041745547,1.0
91,0.4772319135576749,0.37330168,0.0,0.9323013486675227,0.8945557,1.0,0.5392447756981662,0.65519273,1.0,5,5.0095906,1.0,2.823072706520446,1.4756192,1.0,0.017541927934201836,0.07242961,1.0,0.00020371769723423702,0.0025943918,1.0
92,0.9268249707184876,0.6604954,1.0,0.9088754052139066,0.7372512,1.0,0.5938864577082223,0.573735,1.0,13,12.51601,1.0,0.3171680243864262,0.29521716,1.0,2.9032977597455063,1.8932054,0.0,0.0035226548946789495,0.00067021727,0.0
93,0.19412711232167057,0.14728613,1.0,0.6093742141140412,0.60732824,1.0,0.7693987093475123,0.8128807,1.0,10,8.797768,0.0,0.01259175913633914,0.047133896,1.0,0.438012658701688,1.52965,1.0,0.00013535867247660058,0.0029665674,1.0
94,0.3093669159284157,0.28477117,1.0,0.836419084927134,0.8921008,1.0,0.7319200041951683,0.7332872,1.0,11,11.7375555,1.0,0.488344693745443,0.5224115,1.0,0.3593833934715686,0.7116028,1.0,0.007168636068754578,0.009257073,1.0
95,0.8811940036986309,0.68852735,1.0,0.5591315732278537,0.5775806,1.0,0.8056944457786397,0.711235,1.0,12,12.379213,1.0,0.07393742763043545,0.0664384,1.0,2.87811016004539,3.469632,1.0,0.01737125335043333,0.021758037,1.0
96,0.42166089696027864,0.5891335,1.0,0.5287962254180396,0.5222622,1.0,0.910064726673935,0.6935319,1.0,6,9.830037,1.0,0.020623318758552656,0.12370973,1.0,1.8476598008689065,1.1631113,1.0,0.008449115419503063,0.004544735,1.0
