case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error
125,0.6124551074043401,0.6828675,1.0,0.5775576872327346,0.7511127,0.0,4,4.3996153,1.0,35.87522917945711,32.617897,1.0,49.37572311739988,8.586369,0.0
126,0.8837532928275849,0.93062204,1.0,0.5865162319666947,0.6257544,1.0,5,6.0501046,1.0,1.6927821527701237,1.3135183,1.0,1.4735362428004801,2.46119,1.0
127,0.8257964869331424,0.8736082,1.0,0.9143172740637158,0.8402058,1.0,7,6.7951846,1.0,5.243716556518851,5.361796,1.0,18.966908737938212,19.425898,1.0
128,0.7784076783686492,0.8152691,1.0,0.975734119947309,0.8157583,0.0,9,9.260462,1.0,1.0759226034389116,1.9268103,0.0,21.359267603422033,22.411144,1.0
129,0.8210348378545926,0.6844376,1.0,0.9405655712580849,0.8532638,1.0,5,4.6100507,1.0,22.17441528028674,17.548914,1.0,1.3129690792721078,15.011129,0.0
130,0.7154696863851111,0.8331404,0.0,0.9804188314360939,0.7865764,0.0,16,14.608158,0.0,4.211332244957177,6.0960646,0.0,1.9524451350855627,1.6478429,1.0
131,0.6373448778293027,0.6681097,0.0,0.9431227353167968,0.762062,1.0,14,13.510158,1.0,1.9878225437493537,3.7131073,1.0,34.88451625791131,42.637905,1.0
132,0.8258153718572645,0.85512346,1.0,0.6374599947497449,0.7717582,0.0,11,10.776188,1.0,17.9005073569475,18.336916,1.0,20.414121728359415,7.5683594,1.0
133,0.733357338413459,0.87334585,1.0,0.8175004974526722,0.80534554,1.0,9,9.318466,1.0,19.786393647177302,20.922192,1.0,27.0804122107195,11.66569,1.0
134,0.5621760581810091,0.56642556,1.0,0.9723417790698985,0.77759874,1.0,4,4.544451,1.0,1.1758309767641248,9.845753,0.0,24.97808528522243,8.580613,1.0
135,0.8694111902147315,0.808469,1.0,0.8362985738081861,0.8415792,1.0,10,9.37084,1.0,12.721710914393645,12.478442,1.0,22.35320344476103,24.279522,1.0
136,0.8604027980055418,0.8715078,1.0,0.7220544874753512,0.7404104,1.0,13,14.3427515,1.0,8.568855104847147,9.009486,1.0,3.7105829947904017,2.9409244,1.0
137,0.7804371158228571,0.7590311,1.0,0.7775262541147581,0.7887225,1.0,9,7.4468403,0.0,42.9783289111895,36.920494,1.0,2.05607596325705,12.068403,1.0
138,0.9917379407151298,0.9093838,1.0,0.9588616056120454,0.89046973,1.0,12,11.00577,1.0,4.930738623616624,6.1978984,0.0,2.872019624198162,2.2609034,1.0
139,0.6693299775339757,0.6925446,1.0,0.9393294781976149,0.75590587,1.0,14,13.977586,1.0,2.094801077357853,3.3526192,1.0,33.27230075268265,34.81545,1.0
140,0.9868025253943622,0.89918333,1.0,0.8515065500372923,0.8211114,1.0,14,14.352321,1.0,2.2848755085367936,2.1266685,1.0,2.419327510172462,1.7454053,1.0
141,0.7174129162248462,0.7763552,1.0,0.8962115625950571,0.8607767,1.0,4,4.446849,1.0,17.242037266946795,19.454187,1.0,43.14592165794524,12.90199,0.0
142,0.7800266252736641,0.82423383,1.0,0.7361774928755112,0.7131957,1.0,6,6.6005945,1.0,33.48144370624203,34.64704,1.0,4.421214616983725,3.6117735,1.0
143,0.6994371324402286,0.722028,1.0,0.6271906035571879,0.76709694,1.0,15,14.274106,1.0,5.5288957322047105,7.075175,0.0,4.143006488296953,3.0433571,1.0
