case,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing,gt_cost_time,mu_cost_time,hit90_cost_time
75,9,8.871751,1.0,3.3445264048159413,9.0542145,1.0,1.3492949432673707,1.2813303,1.0,36.29579125475613,11.3437195,1.0,0.46666561750197333,0.4285609,1.0
76,15,14.954555,1.0,4.7421617883203275,5.0690217,1.0,4.372445916881982,4.427635,1.0,3.177891776877301,13.46761,1.0,0.2004855227109297,0.20980652,1.0
77,11,10.629726,1.0,12.0852302673965,14.183633,0.0,13.6124421169012,6.5780153,1.0,2.5331435206735238,2.510993,1.0,0.010176963283614598,0.014635105,0.0
78,7,7.827659,0.0,37.914063433606984,23.942669,0.0,38.74874915156075,34.840565,1.0,11.57525309880892,23.25009,1.0,0.2748551991698057,0.150779,0.0
79,11,11.060155,1.0,1.3180867781860788,1.9774451,1.0,2.2017203963487546,1.9020696,1.0,8.704938799608257,12.900803,1.0,0.016117108929264122,0.023789898,1.0
80,6,5.984077,1.0,2.260119636765118,1.8133831,1.0,3.8654016494828407,2.779739,1.0,33.722477671582894,13.505135,1.0,0.22213757674657159,0.18778631,1.0
81,10,9.914413,1.0,1.556592078845363,1.5647805,1.0,3.1780696862061797,3.2331781,1.0,7.4960018490350855,11.594523,1.0,0.07404369058957228,0.07926804,1.0
82,10,9.975252,1.0,1.4483275758935468,1.923547,1.0,25.99753205834294,26.552238,1.0,28.293509071082752,15.927347,1.0,0.027899648693480696,0.032318115,1.0
83,13,12.9722185,1.0,5.776045889877992,2.5864432,1.0,4.652844447431688,3.2055397,1.0,17.70803576753545,13.142479,1.0,0.38456723789030256,0.26908734,1.0
84,5,4.637501,1.0,34.00040652041951,36.484627,1.0,1.107607815210745,11.105887,0.0,2.4927541300264706,2.3188872,1.0,0.023152371457898547,0.06928526,1.0
85,12,11.902834,1.0,3.4901952391280058,4.666722,1.0,21.260070777560497,22.927923,1.0,22.08095308479877,13.849188,1.0,0.01841804316671263,0.031677973,1.0
86,8,8.039323,1.0,1.0910424920210757,3.1441736,0.0,6.26481236910828,8.300043,1.0,15.385182193275082,13.250896,1.0,0.20913462432876756,0.284075,1.0
87,10,9.307023,0.0,14.273938764659814,12.568226,1.0,19.59080394263912,17.144402,1.0,34.68839673102942,17.012592,1.0,0.11854942106107705,0.09842839,1.0
88,15,15.073972,1.0,2.601195050799576,3.2540517,1.0,30.394157351960413,21.493717,0.0,38.289433211934565,11.3327675,1.0,0.17484650985404818,0.115923814,0.0
89,12,11.965578,1.0,1.3292330292053856,3.91206,1.0,5.689418022903171,9.83602,0.0,25.54338636514125,11.565966,1.0,0.18531488798832038,0.34233037,1.0
90,16,15.7229395,0.0,1.0848950865400426,1.8044332,1.0,13.937674819321657,18.421255,1.0,7.961075706471996,12.584263,1.0,0.09006918336961652,0.1285301,1.0
91,14,13.914438,1.0,14.963762276391362,19.827446,1.0,2.1814161450141083,2.8339005,1.0,15.49451634490538,13.389438,1.0,0.21768764160963178,0.3033792,1.0
92,5,5.1122355,1.0,40.01414538980603,44.333004,1.0,4.177880231648167,13.770534,1.0,4.746600937737624,8.9360895,0.0,0.03334265218989925,0.03059171,1.0
93,12,11.944123,1.0,7.381110565121781,6.735011,1.0,43.85972912557241,35.085537,1.0,5.461234141682095,6.904009,1.0,0.04431677176672139,0.040643886,1.0
94,7,6.9031177,1.0,1.1307417483118378,1.3561858,1.0,27.306051037689247,26.822563,1.0,40.32161606730143,22.128809,1.0,0.04567563896693704,0.056317277,1.0
95,9,9.091829,1.0,39.79038109293543,36.20124,1.0,26.881423601514182,17.118309,1.0,15.348152947388032,14.411658,1.0,0.251722218066506,0.2163851,1.0
96,15,15.00112,1.0,15.617572912817348,11.709183,1.0,2.8244000799281914,3.1012843,1.0,1.1986481248717746,11.021243,1.0,0.3903350925999397,0.29434025,1.0
97,15,15.177156,1.0,29.39621193289091,29.037573,1.0,18.400147861206126,19.311914,1.0,2.992630781581204,14.755762,1.0,0.4033604338181422,0.41836274,1.0
98,4,4.1897187,1.0,7.705120673772995,9.073482,1.0,41.25824102562226,46.199944,1.0,26.073599202019032,23.775766,1.0,0.2476483852833903,0.29806814,1.0
99,9,8.935254,1.0,1.0862161835961586,1.88822,0.0,13.454555203213248,14.988689,1.0,32.37110382660744,18.37935,1.0,0.028643894426278793,0.048393156,0.0
100,6,5.3458867,0.0,31.853821098242182,26.3768,1.0,1.395033335997709,15.949621,1.0,1.3243738158416531,1.3596934,1.0,0.11600985066314426,0.082949415,1.0
101,13,12.935749,1.0,4.873870469791714,3.8661797,1.0,28.20286704129289,27.10607,1.0,3.623732522231653,3.7109804,1.0,0.03563613288222914,0.026578212,1.0
102,12,12.214571,1.0,35.36738604252676,29.560707,1.0,20.995448938796557,17.097511,1.0,16.07370476887158,24.507174,1.0,0.18531549836537523,0.12778656,1.0
103,9,9.034094,1.0,2.8707895959060012,4.547209,1.0,6.858216675586766,6.7515206,1.0,2.418621199969833,12.832713,1.0,0.2967030817914081,0.27285132,1.0
104,7,6.9299364,1.0,13.535933895809963,14.38046,1.0,4.617877578324412,8.5605135,1.0,9.424542027772079,11.201692,1.0,0.027751265157159446,0.035234824,1.0
105,13,12.882041,1.0,8.546787412220667,9.249949,1.0,41.627305827797784,43.264576,1.0,18.27421844094188,28.004784,1.0,0.08740524421972147,0.0978015,1.0
106,7,6.9368196,1.0,1.2176615128280674,1.3783414,1.0,1.67977466576186,3.0053625,1.0,9.950191505840573,13.751635,1.0,0.10211383438968162,0.15319377,1.0
107,10,9.839362,1.0,29.333313580902004,32.543793,1.0,8.708079224030941,10.629813,1.0,7.434858912343307,9.697452,1.0,0.04084748443956739,0.037711933,1.0
108,12,11.942267,1.0,1.1851552187432781,2.0292318,1.0,19.557814133464984,19.658634,1.0,7.182800559437445,10.606266,1.0,0.011454523566864397,0.023946935,0.0
109,13,12.235702,1.0,5.5505472420551465,6.7956104,1.0,4.4725477527663005,4.6639986,1.0,19.534319599208565,9.203827,1.0,0.02123823312928796,0.028970158,1.0
110,11,10.909776,1.0,3.4605430706072537,3.900844,1.0,2.1518105075882086,1.5935599,1.0,7.640141838094552,12.61852,1.0,0.026261282523040726,0.030314263,1.0
111,12,10.222448,0.0,38.435613142526186,44.14918,1.0,4.640911116244945,3.3762696,1.0,33.612256177249144,5.037671,0.0,0.28876385971028923,0.33658534,1.0
112,15,15.027115,1.0,3.930478774069218,3.7161255,1.0,10.560909165763668,10.954217,1.0,1.3017527354349656,13.976251,0.0,0.058705944972687184,0.059261728,1.0
113,14,13.880898,1.0,2.1205853712207543,2.3692384,1.0,36.38886286998745,38.838562,1.0,25.816607610125835,31.402502,1.0,0.013640188300126876,0.016312176,1.0
114,15,15.0292845,1.0,7.351538607106175,10.778286,1.0,15.494259408816948,32.235123,0.0,2.3740796193723273,13.173169,1.0,0.22717432311676763,0.35436538,0.0
115,4,4.0930505,1.0,7.1469079076625945,7.678371,1.0,1.6410251274471916,1.7377664,1.0,1.2557472044138518,11.157456,0.0,0.013001042566798609,0.016882595,1.0
116,16,15.781196,1.0,1.658360603275833,4.1766114,1.0,1.1192352729268344,2.1759672,0.0,1.0539926923269942,14.2677965,0.0,0.25537425231630917,0.35042542,1.0
117,10,9.952108,1.0,31.671765085306937,18.744505,0.0,7.230175094705386,2.5358427,0.0,1.9582239714929086,13.764289,1.0,0.49213836917987486,0.28172868,0.0
118,7,7.1800613,1.0,33.617282784262876,31.279799,1.0,39.29953111512652,11.789454,0.0,3.7050374218447892,3.9450412,1.0,0.1427008178073807,0.11739703,1.0
119,5,4.802542,1.0,18.092960746878514,23.825054,1.0,9.37584742363661,10.671944,1.0,1.4910186486049624,1.7616819,1.0,0.04669603892058531,0.0913129,1.0
120,8,6.023031,0.0,7.5530165805392695,6.6408553,1.0,1.3901123239938222,1.7729503,1.0,21.671569482388584,18.096165,1.0,0.03901005725770546,0.030641137,1.0
121,6,5.9877787,1.0,8.725738007299194,8.861822,1.0,26.705044937112877,24.254345,1.0,6.306891474618292,7.0603623,1.0,0.06304117970987981,0.066370405,1.0
122,14,13.533661,1.0,32.73183885809531,39.970814,1.0,17.344053684653215,12.671616,1.0,8.844104152713038,16.927347,1.0,0.01824845783085231,0.015177498,1.0
123,14,13.085219,0.0,36.104295333700804,11.399561,0.0,13.499079581841816,3.660447,0.0,11.536351256099486,15.96919,1.0,0.30939484877696133,0.053757217,0.0
124,15,14.3831835,0.0,17.763964268357466,20.387,1.0,42.572953866855656,22.486193,1.0,43.42369397950285,13.0046425,0.0,0.05592551839299834,0.07327429,1.0
125,7,6.953251,1.0,1.8345787908827376,8.912193,0.0,1.0426266300575309,1.2831496,1.0,35.87522917945711,12.070561,1.0,0.49375723117399883,0.4311354,1.0
126,13,12.908814,1.0,1.967781920219641,2.5835664,1.0,1.3970863494658867,1.438873,1.0,1.6927821527701237,12.129391,1.0,0.01473536242800481,0.023648055,1.0
