case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_time,mu_cost_time,hit90_cost_time
97,0.6319066260647985,0.64229494,1.0,0.9088591788830862,0.92272335,1.0,6,5.338337,1.0,21.11677852415982,50.809204,1.0,2.7416215762485825,2.5348783,1.0,38.175814350974846,28.173113,1.0,0.312729105448915,0.20323725,1.0
98,0.7053193595041086,0.75164634,0.0,0.5504389671230068,0.74159265,1.0,8,7.9316216,1.0,25.444377087567638,63.451214,1.0,1.8446974454495568,4.10597,1.0,3.8827596423916417,3.6113374,1.0,0.29861604399098235,0.34140378,1.0
99,0.8985215894156737,0.8973391,1.0,0.9263820172401406,0.7442375,1.0,12,12.144697,1.0,90.48774416297083,63.71511,1.0,1.926744828325869,4.8301463,1.0,2.377695450971148,3.0501163,1.0,0.17582669371232032,0.3486624,1.0
100,0.8925384625158715,0.832847,1.0,0.8759446906237389,0.87901706,1.0,10,9.575309,1.0,68.06770158409347,76.49932,1.0,9.992016691531825,10.860632,1.0,2.9876171801554596,6.1753087,1.0,0.029539788784620394,0.035823897,1.0
101,0.608343624142998,0.6127108,1.0,0.9200761257020381,0.7958133,1.0,14,13.258519,1.0,24.72774179961766,56.774338,1.0,9.710086218121496,9.207121,1.0,29.938826859287264,27.00616,1.0,0.2904890306033995,0.26299632,1.0
102,0.8334342492386554,0.8337446,1.0,0.5514754597314366,0.55212474,1.0,9,9.026343,1.0,15.040529655836734,17.939594,1.0,1.033977307164114,1.6027907,1.0,2.261070973735503,1.7749137,1.0,0.0416498187074682,0.026886899,1.0
103,0.8942531911203953,0.89743274,1.0,0.67077457761749,0.6736316,1.0,6,5.8879952,1.0,64.47869877557129,56.71289,1.0,4.931277953640589,7.0093017,1.0,1.6279614473111061,1.9647495,1.0,0.06340852695774743,0.09265084,1.0
104,0.7936738662776033,0.8250405,1.0,0.9017299549725826,0.83509433,1.0,11,11.414645,1.0,26.83349180176127,33.011734,1.0,1.4604180056773945,3.5997539,1.0,2.1758542638451006,2.7376714,1.0,0.029103053253229663,0.055568658,1.0
105,0.8126212727120066,0.8387229,1.0,0.783950485940688,0.74689233,1.0,16,15.863633,1.0,27.690084584308202,59.21861,1.0,2.263970594720455,4.9730296,1.0,2.3836370869109316,3.1231756,1.0,0.18947888979683505,0.30230302,1.0
106,0.9296815381276022,0.95627004,0.0,0.8564206747816292,0.86783177,1.0,6,5.91514,1.0,13.24190929242885,27.542055,1.0,2.8523195980742786,2.085768,1.0,6.576253857860806,4.7507334,1.0,0.28296235224824146,0.18058088,1.0
107,0.5710256501782971,0.56773,1.0,0.5427967986679749,0.8530881,1.0,10,9.399092,1.0,21.792282134063626,40.34636,1.0,3.472377211040996,6.7256837,1.0,9.251768962628338,7.721633,1.0,0.014036595078139601,0.036023367,1.0
108,0.5750632019350908,0.6692979,1.0,0.7876037624888876,0.69835114,1.0,5,4.518451,1.0,26.636421591600833,43.635017,1.0,25.120740240450147,24.505402,1.0,20.381140325400917,21.949926,1.0,0.03822150266147402,0.035105698,1.0
109,0.512381137356672,0.5209487,1.0,0.573089026615198,0.71319956,1.0,4,9.135524,0.0,23.57175476068086,54.552643,1.0,21.007089649692805,12.72955,1.0,3.9007420671164525,20.575966,1.0,0.05832185482525266,0.17877911,1.0
110,0.5589516742074951,0.5510532,1.0,0.9280044312202143,0.7307393,1.0,15,12.592601,0.0,17.655868587611636,47.50811,1.0,8.932196994537545,9.666804,1.0,30.40780365801722,16.476625,1.0,0.18538719389406152,0.10973064,1.0
111,0.668120843538965,0.64966464,1.0,0.6420244029817197,0.7342046,1.0,8,7.9129953,1.0,54.975698990952935,68.121704,1.0,34.381344660205094,25.641933,1.0,1.9965353120997236,10.901531,1.0,0.010801950966154257,0.03025663,1.0
112,0.5368075251755291,0.52618366,1.0,0.7792145234510224,0.8007566,1.0,6,7.574298,0.0,97.20634419367728,67.874626,0.0,30.27897943676564,30.782211,1.0,3.7012089365674137,3.5984325,1.0,0.29772585041195365,0.32770407,1.0
113,0.5874623034764523,0.6067374,0.0,0.9656000566602401,0.96667105,1.0,7,7.0726233,1.0,39.39445172449129,55.219616,1.0,1.2413279822026495,2.105232,1.0,4.195058099355093,8.621816,1.0,0.05740676219131151,0.1406058,1.0
114,0.6660806190767785,0.61775464,0.0,0.6970333330639211,0.76178426,1.0,4,4.250871,1.0,72.04392983451186,74.59059,1.0,29.29316614140977,22.60861,1.0,4.037740944923784,4.4864793,1.0,0.04050472692609884,0.046883643,1.0
115,0.6255738775182353,0.6116593,1.0,0.8586147145017151,0.76238084,1.0,9,9.026012,1.0,33.44137679158032,49.780975,1.0,1.2507138204949988,2.9361353,1.0,3.2757355913269315,6.778654,1.0,0.1549822128017785,0.26945215,1.0
116,0.7444583879056801,0.75717825,1.0,0.9935803524018676,0.92871165,1.0,7,6.7655754,1.0,59.46201837191936,49.274914,1.0,1.2581415321265443,3.3496492,1.0,10.990572474030444,16.041632,1.0,0.01916322922508979,0.042266946,1.0
117,0.9021791043646712,0.7761146,1.0,0.5277223371538271,0.6637875,1.0,9,8.500883,1.0,67.19050780703967,40.963814,1.0,29.86734277226791,32.885666,1.0,1.0544164142802683,17.20021,0.0,0.02741372405164562,0.03151254,1.0
118,0.7447461210023252,0.7585381,1.0,0.9533283340155492,0.91887236,1.0,6,6.370959,1.0,94.64861669510142,57.744595,1.0,9.822104500011068,11.396212,1.0,3.7508819759277867,5.1344376,1.0,0.16050747947502378,0.19036993,1.0
119,0.6699084944245217,0.71283126,1.0,0.9430548274735792,0.9297739,1.0,12,11.32727,0.0,72.23636377148824,67.77227,1.0,9.075455988460021,8.11529,1.0,7.779670068299601,15.885237,1.0,0.04486825472411089,0.030695708,1.0
120,0.956154134946378,0.83679235,1.0,0.8011582913135956,0.8119627,1.0,9,8.6009865,1.0,30.236266438731832,32.468433,1.0,13.741546363768427,22.206932,1.0,33.36634334724411,18.517635,1.0,0.011493123505466656,0.046666045,1.0
121,0.8142785385107709,0.774533,1.0,0.5833614484246603,0.5700828,1.0,11,10.042751,0.0,77.68831703822713,86.46107,1.0,4.232772809843922,4.5019045,1.0,1.6332812350252601,1.4684421,1.0,0.012262821346129061,0.011968996,1.0
122,0.6921166123133362,0.6764622,1.0,0.803590460803603,0.7309432,1.0,11,11.16856,1.0,10.952481426312517,60.044453,0.0,5.494457702215279,8.9646845,1.0,2.0268068169837212,1.7955723,1.0,0.42687236419163443,0.3780502,1.0
123,0.8665018592611613,0.8844977,1.0,0.7340750719140059,0.7278439,1.0,4,4.7166924,0.0,65.04111631201624,59.792824,1.0,1.7522141572703789,3.1136694,1.0,27.490354058651903,34.522186,1.0,0.023166481188389033,0.035945434,1.0
124,0.55475828524744,0.5424092,1.0,0.9752942474559045,0.9758711,1.0,5,5.1518817,1.0,18.339682201149238,52.704872,1.0,21.813675234299005,16.681932,1.0,2.311678865413434,2.7834854,1.0,0.07328297729767128,0.10629364,1.0
125,0.8681027322572739,0.8690126,1.0,0.6129372727411238,0.5743563,1.0,5,4.9660854,1.0,43.194854519426265,56.12751,1.0,1.719782615774974,4.9696035,1.0,31.46307244472036,19.467707,1.0,0.3009889823322148,0.21496148,1.0
126,0.967298164089506,0.96171933,1.0,0.5488121260054214,0.5390863,1.0,8,7.9104357,1.0,19.672777315845593,61.967922,0.0,35.48439986318441,20.094515,0.0,12.192925755354315,3.345941,0.0,0.2207609497981629,0.109905444,0.0
127,0.5298658940989205,0.56096035,1.0,0.7357340848585239,0.86725783,1.0,4,4.293512,0.0,24.823357608700228,38.91474,1.0,2.9562901433590985,3.5733988,1.0,7.307240599234765,3.2081668,1.0,0.07816558967101551,0.088529915,1.0
128,0.6892186257268831,0.83679736,0.0,0.5461565644950064,0.56144476,1.0,7,6.970461,1.0,90.77466702025065,57.081642,1.0,30.603761987978775,32.203686,1.0,5.5073584871808405,13.496744,1.0,0.10025043907507845,0.10735051,1.0
129,0.5427952645208,0.6744487,1.0,0.7978090976638625,0.8204015,1.0,14,9.832244,1.0,98.293839779012,61.011032,0.0,23.46770672922974,28.650324,1.0,4.618225440869438,15.903782,1.0,0.048376315342482205,0.064037286,1.0
130,0.8622862360964828,0.8867854,1.0,0.9994833693575579,0.98135823,1.0,7,5.912795,0.0,91.30600163850384,38.18284,0.0,3.523633796919804,12.573879,0.0,1.7413492043566847,5.044904,1.0,0.02676636426551816,0.09225375,1.0
131,0.7687747374838632,0.77519214,1.0,0.9927526431266906,0.94558936,1.0,7,6.342829,1.0,84.51866498888913,47.592297,1.0,3.595939547480934,7.9108663,1.0,2.4131388851302153,5.533507,1.0,0.03090377926389562,0.06494474,1.0
132,0.7354642600827959,0.6587693,0.0,0.7824309570351753,0.8176013,1.0,7,6.955955,1.0,38.75996528029229,58.21289,1.0,18.443703582576408,14.695008,1.0,14.092859393939477,8.704825,1.0,0.053815537337396406,0.047797434,1.0
133,0.700611891990983,0.71794575,1.0,0.9964725859126328,0.94534284,1.0,4,4.308074,1.0,91.2008945798527,54.31042,1.0,2.1187107671902248,3.763895,1.0,28.440389874910377,29.567106,1.0,0.011324051803272601,0.024285771,1.0
