case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
143,0.6994371324402286,0.7030109,1.0,0.6271906035571879,0.64856106,1.0,15,14.849785,1.0,5.5288957322047105,3.1460166,0.0,0.04143006488296954,0.022770924,0.0
144,0.7174278464669681,0.76436687,1.0,0.850311178200557,0.80408436,1.0,5,4.529799,1.0,40.85190402064886,41.70327,1.0,0.01160255429913784,0.031775594,1.0
145,0.5140982146926207,0.5219405,1.0,0.8752037428794985,0.8868287,1.0,5,4.805305,1.0,4.668196510900832,4.5603366,1.0,0.01950178587753584,0.01961636,1.0
146,0.57327259942815,0.590208,0.0,0.5085622558075182,0.5795186,0.0,9,8.471989,1.0,5.2506999515551405,5.3205028,1.0,0.02855322877260786,0.0348201,1.0
147,0.5795634995419028,0.78099793,1.0,0.8903707977188277,0.8311627,1.0,16,14.666795,0.0,35.27921082521666,41.269306,1.0,0.04335618664213564,0.030127121,1.0
148,0.7765224905007779,0.6707252,1.0,0.9999248873746946,0.8199877,0.0,15,9.718023,1.0,42.05968597325774,38.88395,1.0,0.05135194037650159,0.036798164,1.0
149,0.5920735737496279,0.598648,1.0,0.8787325169053806,0.84159017,1.0,5,4.682506,1.0,26.421662722037222,30.52326,1.0,0.04810913336020808,0.06502775,1.0
150,0.9011489669336679,0.8672241,0.0,0.8620642770275995,0.732849,1.0,8,7.8467607,1.0,3.5207834469283945,2.1475577,1.0,0.13127637306946766,0.1925828,0.0
151,0.8721271636860861,0.85251004,1.0,0.6233454014508094,0.6102799,1.0,4,4.606084,1.0,12.040317084874745,8.70913,1.0,0.03636382311630234,0.022037677,0.0
152,0.9936535540969822,0.96881616,1.0,0.7770195215106239,0.77742535,1.0,11,11.284068,1.0,2.9387173765844206,3.5497925,1.0,0.013477147587800978,0.019143555,1.0
153,0.6650206778102166,0.60068274,0.0,0.7423306320556358,0.73650277,1.0,13,12.94308,1.0,5.707400334794273,11.289423,1.0,0.182933892233384,0.20799951,1.0
154,0.6726348010602423,0.6768177,1.0,0.8620141757619412,0.91480076,1.0,6,5.7648935,1.0,1.5853161703653873,2.1191676,1.0,0.035838351694669694,0.0407568,1.0
155,0.7472724705415452,0.8017993,0.0,0.7788963519349177,0.8062437,1.0,11,11.036455,1.0,9.410558790189196,6.0214276,1.0,0.10661697675127646,0.059670273,1.0
156,0.7003452632386017,0.6955138,1.0,0.5434935077780707,0.538672,1.0,11,11.3632965,1.0,1.8129556279172176,1.5159746,1.0,0.012102962372141193,0.013951071,1.0
