case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
120,0.21142236580636953,0.36364225,1.0,0.670483311641701,0.7047919,1.0,0.7100293287819633,0.7315455,1.0,8,7.0998306,1.0,33.228965367332016,24.845371,1.0,0.058560096984714836,0.025335709,1.0
121,0.0939894650283245,0.30525893,1.0,0.7234261609621371,0.73696136,1.0,0.7312471516350143,0.74167734,1.0,5,5.126615,1.0,10.434890463233973,15.733525,1.0,0.05090263765377502,0.08981725,0.0
122,0.26068191262976115,0.5036465,1.0,0.5144861788801052,0.6879629,0.0,0.7480170506704535,0.7663989,1.0,11,10.1482935,1.0,16.57508576256813,37.751373,0.0,0.011100793787911616,0.018271392,1.0
123,0.48910154354766666,0.42534283,1.0,0.9870830972366834,0.8480934,1.0,0.971945686346531,0.83843845,0.0,12,11.038684,1.0,16.461384575155424,28.093138,0.0,0.005017942029127523,0.031830743,0.0
124,0.1496016546177662,0.102789946,1.0,0.7757401419198786,0.7552874,1.0,0.6292642206993797,0.61458814,1.0,6,5.722503,1.0,1.028852873488605,1.2874775,1.0,0.00995116117894752,0.011074308,1.0
125,0.8607456931404492,0.41972047,1.0,0.9117657697545398,0.8821715,1.0,0.5210143079197169,0.930552,0.0,13,12.055945,0.0,16.635306837769836,12.942467,0.0,0.015778411930332404,0.011611002,1.0
126,0.7215586233862173,0.8480601,1.0,0.5613520933941774,0.5865787,1.0,0.7669217308226048,0.68505424,1.0,15,15.3668785,1.0,0.6182973307929674,1.0163649,1.0,0.01101064348107611,0.014153399,1.0
127,0.1211435666508246,0.3934324,1.0,0.6137702271550156,0.6937463,1.0,0.6315963613713671,0.66932213,1.0,7,6.085808,0.0,44.83702581542796,37.21279,1.0,0.04798955442971974,0.019493073,1.0
128,0.9408642299831288,0.94155884,1.0,0.9500860792409445,0.93158185,1.0,0.7739586522743322,0.7712479,1.0,12,11.485752,1.0,1.7326424683684523,1.6265293,1.0,0.02720232667506694,0.021485982,1.0
129,0.6742318267272314,0.556275,1.0,0.8876593709088261,0.8940952,1.0,0.6521722306702615,0.67815405,1.0,10,10.06786,1.0,6.479361528323534,7.2378936,1.0,0.10946868247733481,0.12028912,1.0
130,0.874100203622009,0.6695232,1.0,0.6079347834311561,0.599629,1.0,0.7368660481865028,0.74064463,1.0,9,9.187644,1.0,0.9212387704925137,1.9852023,1.0,0.09667670710116638,0.08867433,1.0
131,0.31071461478652684,0.29877967,1.0,0.84559772564344,0.8439543,1.0,0.5573250911764285,0.56159514,1.0,10,9.835252,1.0,2.008503779038626,1.0254161,1.0,0.05324265925770664,0.02571592,0.0
132,0.007476636375763346,0.5738153,0.0,0.5517956005470892,0.6276252,1.0,0.717339239745399,0.80653626,0.0,6,6.3922853,1.0,4.866681972543905,10.716255,1.0,0.07861202855117352,0.18824078,0.0
